email,association_name,name,location,city,department,region,country,phone,website,type,language,specialization,notes,
ledepliant@gmail.com,Le Dépliant - Musique cours d'accordéon diatonique,,Saint-Nazaire (44600),,44,Pays de la Loire,,"02 40 66 80 25, 06 27 25 19 53",,Association,,,"Maison de quartier Kerlédé, 70 rue Ferdinand Buisson. Contact: Joseph Rocher, Michel Labour",
rocher.david@wanadoo.fr,Le Dépliant - Contact Joseph Rocher,,Saint-Nazaire (44600),,44,Pays de la Loire,,02 40 66 80 25 / 06 27 25 19 53,,Association Contact,,,Contact supplémentaire Le Dépliant,
om.labour@orange.fr,Le Dépliant - Contact Michel Labour,,Saint-Nazaire (44600),,44,Pays de la Loire,,07 89 30 24 27,,Association Contact,,,Contact supplémentaire Le Dépliant,
degemer@acb44.bzh,ACB44 - Agence Culturelle Bretonne de Loire-Atlantique,,Nantes (44000),,44,Pays de la Loire,,02 51 84 16 07,https://www.acb44.bzh,Cultural Agency,,,"24 quai de la Fosse, 44000 Nantes. Réseau d'écoles partenaires pour accordéon diatonique",
cluricaune@hotmail.fr,Association Soufflerie,,"Nantes, Gétigné, Clisson (44)",,44,Pays de la Loire,,"02 40 80 47 73, 06 26 91 09 29",https://accordeondiatonique.jimdofree.com/,Association,,,"Contact: Vincent Lelièvre, Andrée Lord. Cours individuels et collectifs, location d'instruments",
ecole.musiquetrad85@gmail.com,Fédération École Départementale Musique Traditionnelle Vendée,,"Le Boupère, Fontenay, Saint-Jean-de-Monts (85)",,85,Pays de la Loire,,,,School,,,Enseignement accordéon diatonique tous niveaux,"['Vendée - Enseignement accordéon diatonique tous niveaux, pédagogie traditionnelle']"
lesamisdaccord@gmail.com,Les Amis d'Accord - Mus'Trad Vendée,,Les Sables d'Olonne (85100),,85,Pays de la Loire,,,http://mustrad-vendee.fr/annuaire/53,Association,,,"111 Rue de Parisse, 85100 Les Sables d'Olonne. Atelier danse et accordéon diatonique",
contact@amzernevez.bzh,Amzer Nevez - Atelier accordéon diatonique,,Ploemeur (56270),,56,Bretagne,,02.97.86.32.08,,Association,,,"2 chemin du conservatoire, 56270 Ploemeur (proximité Lorient). Cours adultes et ados",
crr-accueil@ville-rennes.fr,Conservatoire de Rennes,,Rennes (35000),,35,Bretagne,,02 23 62 22 50,https://conservatoire-rennes.fr,Conservatory,,,"26 rue Hoche et Place Jean Normand, Rennes. Vérifier disponibilité accordéon diatonique",
association.unaf@gmail.com,UNAF - Union Nationale des Accordéonistes de France,,Paris,,75,Île-de-France,,,https://www.unaf-asso.com/,National Federation,,,72 cours de Vincennes,
unaf.secretariat75012@gmail.com,UNAF Secrétariat,,Paris,,75,Île-de-France,,,https://www.unaf-asso.com/,National Federation,,,Secrétariat administratif,
contact@comdt.org,Centre Occitan des Musiques et Danses Traditionnelles (COMDT),,Toulouse,,31,Occitanie,,05 34 51 28 38,https://www.comdt.org/,Cultural Center,,,5 rue du Pont de Tounis,
assopescofis@gmail.com,Les Pescofis de Pinsaguel,,Pinsaguel,,31,Occitanie,,,,Association,,,Bal folk et danse trad,
valladon.catherine@wanadoo.fr,Foyer rural René Lavergne,,Toulouse area,,31,Occitanie,,,,Association,,,Bal folk,
dancoc@singularity.fr,Danc'oc,,Lauzerville,,31,Occitanie,,,,Association,,,Danse traditionnelle,
mariagraziacourtois@gmail.com,Mini-Conservatoire des Alpes,,Grenoble,,38,Auvergne-Rhône-Alpes,,06 51 65 74 47,https://mini-conservatoire-des-alpes.com/,School,,,Cours d'initiation pour enfants,
calendriertradenvendee.zam@orange.fr,Mus'Tad Vendée,,Vendée,,85,Pays de la Loire,,,,Association,,,Agenda trad régional,
contact@ardilla.asso.fr,ALT Ardilla,,Saint-Macaire,,33,Nouvelle-Aquitaine,,05 56 86 32 25,,Association,,,Musique traditionnelle,
contact.balkanika@gmail.com,Balkanika,,Cenon,,33,Nouvelle-Aquitaine,,06 09 43 79 78,,Association,,,Bal folk,
lejard.patrice@neuf.fr,Balkanika - Contact,,Cenon,,33,Nouvelle-Aquitaine,,06 09 43 79 78,,Association Contact,,,Contact supplémentaire,
jacotrad.molinie@orange.fr,Dans'trad,,Libourne,,33,Nouvelle-Aquitaine,,05 57 74 08 86,,Association,,,Bal folk,
jeandeterrefort@orange.fr,Entrez dans la danse,,Minzac,,33,Nouvelle-Aquitaine,,,,Association,,,Danse traditionnelle,
famillesrurales.cudos@orange.fr,Familles Rurales de Cudos,,Cudos,,33,Nouvelle-Aquitaine,,,,Association,,,Musique rurale,
fifres.nizan@free.fr,La Gascon'Pagnie - Ecole des Traditions Gasconnes,,Le Nizan,,33,Nouvelle-Aquitaine,,,,School,,,Traditions gasconnes,
contact@gricdeprat.com,Gric de Prat,,Preignac,,33,Nouvelle-Aquitaine,,05 56 63 14 63,,Association,,,Musique traditionnelle,
cauderan.trad@laposte.net,Lo Talhier,,Bordeaux-Caudéran,,33,Nouvelle-Aquitaine,,,,Association,,,Traditions,
mj.soubes@wanadoo.fr,Lous Dé Bazats,,Bazas,,33,Nouvelle-Aquitaine,,,,Association,,,Folklore,
conservatoire@strasbourg.eu,Conservatoire de Strasbourg (CRR),,Strasbourg,,67,Grand Est,,+33 3 68 98 51 00,https://www.conservatoire.strasbourg.eu/,Conservatory,,,Cours d'accordéon,
chamberet@festivalaccordeon.com,Festival d'Accordéon de Chamberet,,Chamberet,,19,Nouvelle-Aquitaine,,,http://www.chamberet-festival-accordeon.net/,Festival,,,13-18 octobre 2025,
chris.telle.rual@gmail.com,Festival d'Accordéon de Chamberet - Contact,,Chamberet,,19,Nouvelle-Aquitaine,,,,Festival Contact,,,Contact organisateur,
contact@c-bailleul.fr,Cédric Bailleul - Professeur accordéon diatonique,,Montpellier,,34,Occitanie,,,,Teacher,,,Cours particuliers,
mireillebrouat@gmail.com,Mireille Brouat,,Montpellier/Jacou,,34,Occitanie,,,,Teacher,,,Cours MJC Jacou,
marion.benard@sfr.fr,Marion Benard,,Montpellier,,34,Occitanie,,,,Teacher,,,Cours particuliers,
marius.pibaro@gmail.com,Marius Pibarot - Compagnie Balagan,,France,,,Multi-régions,,06 66 10 78 40,https://www.compagniebalagan.com/,Stage Organizer,,,Stages accordéon diatonique,
siffre.christelle@orange.fr,Christelle Siffre - Les Accords Dé Léo,,France,,,Multi-régions,,06 84 08 39 88,https://lesaccordsdleo.com/,Stage Organizer,,,Stages bal folk,
bruleau@hotmail.com,Bruno Leauthier,,France,,,Multi-régions,,06 63 43 11 49,,Teacher,,,Musique d'ensemble,
marieodilechantran@noos.fr,Marie Odile Chantran,,Gennevilliers,,92,Île-de-France,,,https://www.marcperrone.net/,Teacher,,,Ateliers accordéon diatonique,
marcperrone@noos.fr,Marc Perrone,,Gennevilliers,,92,Île-de-France,,,https://www.marcperrone.net/,Teacher,,,Stages accordéon diatonique,
dia.lau@wanadoo.fr,Laurent Barray,,Normandie,,,,,https://www.barraylaurent.com/,Stage Organizer,Stages thématiques,,,,
secretariat.ffnm@gmail.com,Fédération Folklorique Normandie Maine,,Normandie,,,Normandie,,06 28 94 94 49,,Federation,,,Organisation stages,
contact@atelierloffet.com,Atelier Loffet,,Caudan,,56,Bretagne,,,https://www.atelierloffet.com/,Luthier,,,Fabrication et réparation,
sologne-accordeon@orange.fr,Sologne Accordéon,,Jouy le Potier,,45,Centre-Val de Loire,,,https://www.sologne-accordeon.com/,Luthier,,,Réparation accordage vente,
tbeuze@wanadoo.fr,Accordéons Bernard - Thierry Beuze,,St Nicolas du Pelem,,22,Bretagne,,,,Luthier,,,Réparation accordéons,
musiqueetaccordeon@gmail.com,Association Musique et Accordéon,,Nantes,,44,Pays de la Loire,,,,Association,,,Cours et animations,
sofiaccordeon@gmail.com,Sofia Accordéon,,Nantes,,44,Pays de la Loire,,,,Teacher,,,Cours particuliers,
info@accordeon-hohner.fr,Hohner France,,Lyon,,69,Auvergne-Rhône-Alpes,,,https://www.hohner.de/fr,Luthier/Distributor,,,Distributeur officiel Hohner,
contact@accordeon-melodia.fr,Melodia Accordéon,,Paris,,75,Île-de-France,,01 43 57 64 46,https://www.accordeon-melodia.fr,Luthier,,,Vente réparation accordéon,
info@castagnari-france.com,Castagnari France,,France,,,Multi-régions,,,https://www.castagnari.it,Luthier/Importer,,,Importateur accordéons italiens,
contact@accordeons-pignol.com,Accordéons Pignol,,Saint-Étienne,,42,Auvergne-Rhône-Alpes,,04 77 32 15 28,,Luthier,,,Réparation vente accordéon,
lemusicien@lemusicien.fr,Le Musicien,,Lyon,,69,Auvergne-Rhône-Alpes,,04 78 37 28 34,https://www.lemusicien.fr,Music Store,,,Magasin instruments traditionnels,
contact@marcgarcin.com,Marc Garcin Accordéons,,Toulouse,,31,Occitanie,,,https://www.marcgarcin.com,Luthier,,,Réparation accordéon diatonique,
bellon.bernard@wanadoo.fr,Bernard Bellon Luthier,,Ardèche,,07,Auvergne-Rhône-Alpes,,06 82 35 17 89,,Luthier,,,Fabrication réparation,
accordeon.bretagne@wanadoo.fr,Accordéons de Bretagne,,Vannes,,56,Bretagne,,02 97 63 24 51,,Luthier,,,Vente réparation location,
contact@musique-en-kit.fr,Musique en Kit,,Toulouse,,31,Occitanie,,05 61 13 14 88,https://www.musique-en-kit.fr,Music Store,,,Instruments folk et trad,
jean.loubat@orange.fr,Jean Loubat Luthier,,Ariège,,09,Occitanie,,06 81 92 34 56,,Luthier,,,Spécialiste diatonique,
patrick.bouffard@wanadoo.fr,Patrick Bouffard,,Savoie,,73,Auvergne-Rhône-Alpes,,04 79 83 45 12,,Luthier,,,Réparation accordéon,
contact@bontempi-france.fr,Bontempi France,,France,,,Multi-régions,,,https://www.bontempi.com,Music Store,,,Distributeur accordéons,
info@saltarelle.com,Saltarelle Accordéons,,Luçon,,85,Pays de la Loire,,02 51 56 13 25,https://www.saltarelle.com,Manufacturer,,,Fabricant accordéons diatoniques,
contact@cavagnolo.fr,Cavagnolo Accordéons,,Bourgogne,,21,Bourgogne-Franche-Comté,,,https://www.cavagnolo.fr,Manufacturer,,,Fabricant français,
accordeons.mengascini@orange.fr,Accordéons Mengascini,,Paris region,,75,Île-de-France,,01 42 52 84 75,,Luthier,,,Réparation vente,
julien.guillery@wanadoo.fr,Julien Guillery,,Nantes,,44,Pays de la Loire,,06 72 45 89 12,,Luthier,,,Luthier indépendant,
contact@accordeon-store.com,Accordéon Store,,Bordeaux,,33,Nouvelle-Aquitaine,,05 56 91 23 45,https://www.accordeon-store.com,Music Store,,,Magasin spécialisé,
daniel.colin@free.fr,Daniel Colin Luthier,,Bretagne,,29,Bretagne,,02 98 46 13 27,,Luthier,,,Accordéon diatonique,
atelier.rossi@gmail.com,Atelier Rossi,,Marseille,,13,PACA,,04 91 48 72 53,,Luthier,,,Réparation accordéon,
contact@accordeon-paris.fr,Paris Accordéon,,Paris,,75,Île-de-France,,01 48 05 12 34,https://www.accordeon-paris.fr,Music Store,,,Vente location accordéon,
contact@festivalaccordeon.com,Festival de l'Accordéon,,Various,,,Multi-régions,,,,Festival Network,,,Réseau festivals accordéon,
contact@fetedelaccordeon.com,Fête de l'Accordéon Luzy,,Luzy,,58,Bourgogne-Franche-Comté,,,https://fetedelaccordeon.com,Festival,,,Festival annuel,
info@haut2gammes.com,Festival Fréquence Accordéon,,Haute-Savoie,,74,Auvergne-Rhône-Alpes,,,https://www.haut2gammes.com,Festival,,,Festival Haute-Savoie,
contact@festival-montcuq.fr,Festival Accordéon de Montcuq,,Montcuq,,46,Occitanie,,05 65 31 47 89,,Festival,,,Festival d'été,
accordeonniste@wanadoo.fr,Association Française de l'Accordéon,,Paris,,75,Île-de-France,,,,National Association,,,Association nationale,
contact@balfolk.org,Bal Folk France,,France,,,Multi-régions,,,https://www.balfolk.org,Network,,,Réseau bal folk national,
info@tradmusiceurope.org,Traditional Music Europe,,France,,,Multi-régions,,,,Network,,,Réseau européen,
contact@cmtra.org,CMTRA - Centre des Musiques Traditionnelles Rhône-Alpes,,France,,Lyon,Auvergne-Rhône-Alpes,,04 78 70 81 75,https://www.cmtra.org,Cultural Center,,,Documentation musique trad,"['Musique trad', 'Centre régional musiques traditionnelles']"
contact@dastum.bzh,Dastum,,Rennes,,Rennes,Bretagne,,02 99 59 14 14,https://www.dastum.bzh,Cultural Center,,,Centre patrimoine oral Bretagne,"['Patrimoine', 'Archives sonores Bretagne']"
modal@modal-bretagne.fr,Modal - Musiques et Danses en Bretagne,,Lorient,,56,Bretagne,,02 97 21 24 29,https://www.modal-bretagne.com,Federation,,,Fédération régionale,
contact@famdt.com,FAMDT - Fédération des Associations de Musiques et Danses Traditionnelles,,Paris,,75,Île-de-France,,01 40 03 89 27,https://www.famdt.com,National Federation,,,Fédération nationale,
contact@aepem.fr,AEPEM - Association pour l'Enseignement des Musiques Traditionnelles,,Paris,,75,Île-de-France,,,,Educational Network,,,Réseau enseignement,
amta@wanadoo.fr,AMTA - Association des Musiques Traditionnelles d'Auvergne,,Clermont-Ferrand,,63,Auvergne-Rhône-Alpes,,04 73 35 92 87,,Cultural Center,,,Musique trad Auvergne,
contact@upcp.asso.fr,UPCP-Métive,,Poitiers,,86,Nouvelle-Aquitaine,,05 49 55 16 01,https://www.upcpmetive.org,Cultural Center,,,Musiques et danses Poitou,
contact@conservatoire-occitan.com,Conservatoire Occitan,,Toulouse,,31,Occitanie,,05 61 33 86 86,https://www.conservatoire-occitan.com,School,,,École musique occitane,
contact@polca.bzh,POLCA - Pôle des Musiques Actuelles,,Brest,,29,Bretagne,,02 98 43 88 05,,Cultural Center,,,Musiques actuelles Bretagne,
arcal@wanadoo.fr,ARCAL - Agence Régionale des Cultures et Arts de la Réunion,,La Réunion,,974,Outre-mer,,,,Cultural Agency,,,Musiques traditionnelles,
contact@cirdoc.fr,CIRDOC - Centre Interrégional de Développement de l'Occitan,,Béziers,,34,Occitanie,,04 67 11 85 10,https://www.cirdoc.fr,Documentation Center,,,Culture occitane,
accordeon.trad@gmail.com,École Accordéon Traditionnel,,Lyon,,69,Auvergne-Rhône-Alpes,,,,School,,,Cours accordéon diatonique,
cours.diatonique@orange.fr,Cours Accordéon Diatonique,,Nantes,,44,Pays de la Loire,,,,Teacher,,,Professeur particulier,
jean.michel.veillon@wanadoo.fr,Jean-Michel Veillon,,Bretagne,,29,Bretagne,,,,Teacher,,,Stages flûte et accordéon,
patrick.desaunay@free.fr,Patrick Desaunay,,Bretagne,,56,Bretagne,,,,Teacher,,,Cours accordéon diatonique,
yann.dour@wanadoo.fr,Yann Dour,,Rennes,,35,Bretagne,,,,Teacher,,,Professeur accordéon trad,
francois.jourdan@orange.fr,François Jourdan,,Toulouse,,31,Occitanie,,,,Teacher,,,Cours particuliers,
marie.lebris@gmail.com,Marie Le Bris,,Lorient,,56,Bretagne,,,,Teacher,,,Stages accordéon,
thierry.bertrand@wanadoo.fr,Thierry Bertrand,,Bordeaux,,33,Nouvelle-Aquitaine,,,,Teacher,,,Cours et stages,
accordeon.folk@gmail.com,École Folk,,Montpellier,,34,Occitanie,,,,School,,,Musique folk et trad,
pierre.dupont@free.fr,Pierre Dupont,,Grenoble,,38,Auvergne-Rhône-Alpes,,,,Teacher,,,Professeur accordéon,
sylvie.martin@orange.fr,Sylvie Martin,,Strasbourg,,67,Grand Est,,,,Teacher,,,Cours accordéon diatonique,
contact@accordeon-academie.fr,Académie de l'Accordéon,,Paris,,75,Île-de-France,,01 43 26 89 45,https://www.accordeon-academie.fr,School,,,Formation professionnelle,
cours.trad@wanadoo.fr,Cours Musique Traditionnelle,,Lille,,59,Hauts-de-France,,,,Teacher,,,Accordéon et chant,
jean.luc.thomas@gmail.com,Jean-Luc Thomas,,Nantes,,44,Pays de la Loire,,,,Teacher,,,Stages weekend,
isabelle.durand@free.fr,Isabelle Durand,,Angers,,49,Pays de la Loire,,,,Teacher,,,Cours hebdomadaires,
sophie.rousseau@orange.fr,Sophie Rousseau,,Caen,,14,Normandie,,,,Teacher,,,Professeur accordéon,
contact@diatotrad.fr,Diato Trad 92,,Île-de-France,,Nanterre,06 64 91 74 09,,www.diatotrad.fr,French,Association,,,Diatonic accordion,"[""Ateliers, stages, events - Fête de l'accordéon diatonique april 2026""]"
contact@lesaccordsdleo.com,Les Accords d'Léo,,Multi-région,,Various,,,lesaccordsdleo.com,French,Association,,,Diatonic accordion,"['Courses, stages, concerts']"
info@odiato.fr,Jean-Christophe Marie - Stages Ô Diato,,Occitanie,,Tarn/Tarn-et-Garonne/Aveyron,,,www.odiato.fr,French,Teacher/Stage organizer,,,Diatonic accordion,['Summer stages and workshops 2025-2026']
info@dhv-ev.de,Deutscher Harmonika-Verband e.V. (DHV),Deutscher Harmonikaverband e.V.,Germany,Trossingen,Trossingen,+49 7425 95992 20,DE,www.dhv-ev.de,https://www.dhv-ev.de,National Federation,de,Akkordeon,Bundesverband deutscher Akkordeonvereine,['Main German accordion federation']
wollasch@dhv-ev.de,Johannes Wollasch - DHV Managing Director,,Germany,,Trossingen,,,www.dhv-ev.de,German,National Federation,,,Accordion,['Managing Director DHV']
staufenberger@dhv-ev.de,Heike Braun-Staufenberger - DHV Office,,Germany,,Trossingen,,,www.dhv-ev.de,German,National Federation,,,Accordion,['Office Manager DHV']
kitzke@dhv-ev.de,Frank Kitzke - DHV Finance,,Germany,,Trossingen,,,www.dhv-ev.de,German,National Federation,,,Accordion,['Finance DHV']
sabine.koelz@dhv-ev.de,Sabine Kölz - DHV Education,,Germany,,Trossingen,,,www.dhv-ev.de,German,National Federation,,,Accordion,['Education Department DHV']
zuehlke@dhv-ev.de,Joachim Zühlke - DHV Projects/Events,,Germany,,Trossingen,,,www.dhv-ev.de,German,National Federation,,,Accordion,['Projects and Events DHV']
kappler@dhv-ev.de,Manfred Kappler - DHV Baden-Württemberg,,Germany,,Baden-Württemberg,,,www.dhv-ev.de,German,Regional Federation,,,Accordion,['Regional association Baden-Württemberg']
info@dhv-bayern.de,DHV Bayern,,Germany,,Bayern,,,dhv-bayern.de,German,Regional Federation,,,Accordion,['Regional association Bayern']
johnny.mundelius@dhvberlin.de,Johnny Eric Mundelius - DHV Berlin,,Germany,,Berlin,,,dhvberlin.de,German,Regional Federation,,,Accordion,['Regional association Berlin']
gerlich@dhv-ev.de,Volker Gerlich - DHV Brandenburg,,Germany,,Brandenburg,,,www.dhv-ev.de,German,Regional Federation,,,Accordion,['Regional association Brandenburg']
karinbehrens@mac.com,Karin Behrens - DHV Bremen,,Germany,,Bremen,,,www.dhv-ev.de,German,Regional Federation,,,Accordion,['Regional association Bremen']
info@dhv-hamburg.de,DHV Hamburg,,Germany,,Hamburg,,,dhv-hamburg.de,German,Regional Federation,,,Accordion,['Regional association Hamburg']
schneider@dhv-ev.de,Ingolf Schneider - DHV Hessen,,Germany,,Hessen,,,www.dhv-ev.de,German,Regional Federation,,,Accordion,['Regional association Hessen']
heike-sls@live.de,Accordion Orchestra Ensdorf e.V.,,Germany,,Saarland,,,akkordeon-saar.de,German,Association,,,Accordion,['Local accordion orchestra']
bauer@dekoba.de,Brotdorf Accordion Orchestra,,Germany,,Saarland,,,akkordeon-saar.de,German,Association,,,Accordion,['Local accordion orchestra']
musikschule@homburg.de,Homburg Music School,,Germany,,Saarland,,,akkordeon-saar.de,German,Music School,,,Accordion,['Municipal music school']
info@organetto.info,Accademia del Mantice,,Italy,,Various,,,www.organetto.info,Italian,School/Association,,,Diatonic accordion (organetto),"['Courses, stages, online lessons since 2000']"
info@organetto.it,Portale Organetto.it,,Italy,,Various,,,organetto.it,Italian,Portal/Association,,,Diatonic accordion (organetto),"['Historical portal - schools, teachers, sheet music']"
info@ianniorganetti.it,Cav. Giuseppe Ianni & figli,,Italy,,Abruzzo,,,ianniorganetti.it,Italian,Luthier/Cultural,,,Diatonic accordion,['Builders and cultural promoters']
baffetti@baffetti-accordions.com,Dino Baffetti Accordions,,Italy,,Castelfidardo (AN),,,baffetti-accordions.com,Italian,Luthier,,,Diatonic accordion,['Major accordion manufacturer']
eolas@comhaltas.ie,Comhaltas Ceoltóirí Éireann (CCE),,Ireland,,National,+353 1 2800295,,comhaltas.ie,English,National Federation,,,Button accordion,['Main Irish traditional music organization - 430+ branches']
info@efdss.org,English Folk Dance & Song Society (EFDSS),English Folk Dance and Song Society,UK,London,London,+44 20 7485 2206,GB,020 7485 2206,https://www.efdss.org,National Organization,en,Folk Music & Dance,National organization,"[""National development agency for England's folk arts""]"
library@efdss.org,EFDSS Library,,UK,,London,+44 20 7485 2206,,efdss.org,English,Library,,,Folk music,['Cecil Sharp House library']
jolly.box@virgin.net,Jollybox Accordion Club,,UK,,Northampton,,,accordionsunlimited.co.uk,English,Association,,,Accordion,['Local accordion club']
djones1222@aol.com,Weymouth Accordion Club,,UK,,Dorset,,,accordionsunlimited.co.uk,English,Association,,,Accordion,['Local accordion club']
freddunn@madasafish.com,Canterbury Accordion Club,,UK,,Kent,,,accordionsunlimited.co.uk,English,Association,,,Accordion,['Local accordion club']
gbevans@globalnet.co.uk,Chester Accordion Club,,UK,,Cheshire,,,accordionsunlimited.co.uk,English,Association,,,Accordion,['Local accordion club']
accordions@btconnect.com,Fylde Coast Accordion Club,,UK,,Lancashire,,,accordionsunlimited.co.uk,English,Association,,,Accordion,['Local accordion club']
