email,association_name,location,phone,website,notes
ledepliant@gmail.com,Le Dépliant - Musique cours d'accordéon diatonique,Saint-Nazaire (44600),"02 40 66 80 25, 06 27 25 19 53",,"Maison de quartier Kerlédé, 70 rue Ferdinand Buisson. Contact: Joseph Rocher, Michel Labour"
rocher.david@wanadoo.fr,Le Dépliant - Contact Joseph Rocher,Saint-Nazaire (44600),02 40 66 80 25 / 06 27 25 19 53,,"Contact supplémentaire Le Dépliant"
om.labour@orange.fr,Le Dépliant - Contact Michel Labour,Saint-Nazaire (44600),07 89 30 24 27,,"Contact supplémentaire Le Dépliant"
degemer@acb44.bzh,ACB44 - Agence Culturelle Bretonne de Loire-Atlantique,Nantes (44000),02 51 84 16 07,https://www.acb44.bzh,"24 quai de la Fosse, 44000 Nantes. Réseau d'écoles partenaires pour accordéon diatonique"
cluricaune@hotmail.fr,Association Soufflerie,"Nantes, Gétigné, Clisson (44)","02 40 80 47 73, 06 26 91 09 29",https://accordeondiatonique.jimdofree.com/,"Contact: Vincent Lelièvre, Andrée Lord. Cours individuels et collectifs, location d'instruments"
ecole.musiquetrad85@gmail.com,Fédération École Départementale Musique Traditionnelle Vendée,"Le Boupère, Fontenay, Saint-Jean-de-Monts (85)",,,https://ecolemusiquetradvendee.fr,"Vendée - Enseignement accordéon diatonique tous niveaux, pédagogie traditionnelle"
lesamisdaccord@gmail.com,Les Amis d'Accord - Mus'Trad Vendée,Les Sables d'Olonne (85100),,http://mustrad-vendee.fr/annuaire/53,"111 Rue de Parisse, 85100 Les Sables d'Olonne. Atelier danse et accordéon diatonique"
contact@amzernevez.bzh,Amzer Nevez - Atelier accordéon diatonique,Ploemeur (56270),02.97.86.32.08,,"2 chemin du conservatoire, 56270 Ploemeur (proximité Lorient). Cours adultes et ados"
crr-accueil@ville-rennes.fr,Conservatoire de Rennes,Rennes (35000),02 23 62 22 50,https://conservatoire-rennes.fr,"26 rue Hoche et Place Jean Normand, Rennes. Vérifier disponibilité accordéon diatonique"
,Artissimo,Clisson (44),,,"École partenaire ACB44 pour accordéon diatonique"
,Boest an Diaoul,Mesquer-Quimiac (44),,,"École partenaire ACB44 pour accordéon diatonique"
,Centre Culturel Breton d'Orvault,Orvault (44),,,"École partenaire ACB44 pour accordéon diatonique"
,Conservatoire de Nantes,Nantes (44),,,"École partenaire ACB44 pour accordéon diatonique"
,Diato-Folies,Vannes (56000),,https://diatofolies.bzh,"31 rue Guillaume Le Bartz, 56000 Vannes. Cours accordéon diatonique, chant, musiques trad. Contact via formulaire web"
,Les Accords Dyvon,Pontivy (56),,,"Morbihan - Association enseignement accordéon diatonique. Contact via formulaire"
,Association Di'Accord / Dia'Tonic,Beaucouzé (49),,https://www.jemepropose.com/annonces/cours-de-musique/cours-daccordeon-diatonique-individuel-et-de-groupe+296642/,"Maine-et-Loire (6km d'Angers) - Cours particuliers dès 7 ans"
,Le Repair de l'Accordéon,Bouchemaine/Angers (49),,https://lerepairdelaccordeon.com/,"Maine-et-Loire - Réparation, location, enseignement accordéon diatonique. Contact via formulaire"
,École de Musique TMA,Les Sables d'Olonne (85100),02 51 95 08 59,https://www.ecoledemusiquetma.com,"73 rue des Plesses, 85100 Les Sables d'Olonne. École pluridisciplinaire"
,AREXCPO - Conservatoire de Musiques et Danses Traditionnelles,Saint-Jean-de-Monts (85160),,,https://www.helloasso.com/associations/arexcpo,"Vendée - Enseignement musique traditionnelle, accordéon diatonique"
,École de Musique Tempo,La Ferrière (85280),,,"Vendée - Cours d'accordéon pour jeunes et adultes"
,École de Musique de la Boissière de Montaigu,Boissière-de-Montaigu (85600),,,"Vendée - École de musique"
,Collectif Accordéon Diatonique Bretagne (CADB),Ploemeur (56270),,"https://diato.orlulas.fr/cadb","Morbihan - Coordination des actions autour de l'accordéon diatonique en Bretagne (actuellement en sommeil)"
,Le Camber,Questembert (56230),,,"Morbihan - École de musique traditionnelle avec cours d'accordéon"
,Korollerien Ar Skorv,Lanester (56600),,,"Morbihan - Danse, musique (accordéon diatonique inclus)"
,Piannordéon et Cie,Ploubazlanec (22620),,,"Côtes d'Armor - Promotion du répertoire et festival"
,Tchik Y Tchik,Sougéal (35610),,,"Ille-et-Vilaine - Groupe de musique festive intégrant l'accordéon"
,Filaj du man,Parthenay-de-Bretagne (35850),,,"Ille-et-Vilaine - Cours d'accordéon diatonique"
,Moëlan à vent,Moëlan-sur-Mer (29),,,"Finistère - Association active depuis 2008, animations et cours"
,Diato Trad,Nanterre (92),,https://www.diatotrad.fr/,"Île-de-France - Fête du diato, ateliers hebdomadaires. Distance >200km mais très active"
,Amtrad,Cognin (73),,https://amtrad.net/,"Savoie - Ateliers collectifs, location d'instruments. Distance >200km"
,Tradivarius Folk Club,Drôme (26),,https://www.helloasso.com/e/cat/accordeon,"Drôme - Bals folk, ateliers diato, stages. Distance >200km"
,Association Galaor,Haute-Normandie,,http://galaor.com/,"Haute-Normandie - Ateliers, bals et concerts folk/trad. Distance >200km"
