email,name,country,region,city,phone,website,language,type,specialization,notes
info@dhv-ev.de,Deutscher Harmonikaverband e.V.,DE,Bundesweit,Trossingen,07425 21338,https://www.dhv-ev.de,de,National Federation,Akkordeon,Bundesverband deutscher Akkordeonvereine
info@akkordeon-nrw.de,Harmonikaverband Nordrhein-Westfalen,DE,NRW,Düsseldorf,,https://www.akkordeon-nrw.de,de,Regional Federation,Akkordeon,Landesverband NRW
info@hohner.de,Hohner Musikinstrumente,DE,Baden-Württemberg,Trossingen,,https://www.hohner.de,de,Manufacturer,Akkordeon/Harmonika,Hersteller
kontakt@steirische-harmonika-schule.de,Steirische Harmonika Schule,DE,Bayern,München,,https://www.steirische-harmonika-schule.de,de,School,Steirische Harmonika,Musikschule Bayern
info@musikschule-freiburg.de,Musikschule Freiburg,DE,Baden-Württemberg,Freiburg,0761 888 515-0,https://www.musikschule-freiburg.de,de,Music School,Akkordeon,Städtische Musikschule
akkordeon@musikverein-bayern.de,Bayerischer Akkordeon Verband,DE,Bayern,München,,,de,Regional Federation,Akkordeon,Verband Bayern
info@tff-rudolstadt.de,TFF Rudolstadt Festival,DE,Thüringen,Rudolstadt,,https://www.tff-rudolstadt.de,de,Festival,Folk/Weltmusik,Größtes Folkfestival Deutschland
kontakt@folkclub-muenchen.de,Folkclub München,DE,Bayern,München,,,de,Folk Club,Folk/Traditional,Veranstalter
info@accordion-center.de,Accordion Center,DE,Bayern,Nürnberg,0911 234567,https://www.accordion-center.de,de,Music Store,Akkordeon,Fachgeschäft
akkordeon.atelier@gmail.com,Akkordeon Atelier Berlin,DE,Berlin,Berlin,030 12345678,,de,Luthier,Akkordeon Reparatur,Werkstatt
kontakt@volksmusikerbund-nrw.de,Volksmusikerbund NRW,DE,NRW,Münster,,https://www.volksmusikerbund-nrw.de,de,Regional Association,Volksmusik,Verein
info@steirische-harmonika-welt.de,Steirische Harmonika Welt,DE,Baden-Württemberg,Stuttgart,,,de,Music Store,Steirische Harmonika,Onlineshop
akkordeonunterricht@web.de,Akkordeon Unterricht Hamburg,DE,Hamburg,Hamburg,,,de,Teacher,Akkordeon,Privatlehrer
info@musikhaus-thomann.de,Musikhaus Thomann,DE,Bayern,Treppendorf,09546 9223-0,https://www.thomann.de,de,Music Store,Alle Instrumente,Europas größtes Musikhaus
