email,name,location,type,source,collection_date
ledepliant@gmail.com,Le Dépliant,Saint-Nazaire (44),Association,Direct,2026-02-12
rocher.david@wanadoo.fr,Le Dépliant - Contact,Saint-Nazaire (44),Association,Direct,2026-02-12
om.labour@orange.fr,Le Dépliant - Contact,Saint-Nazaire (44),Association,Direct,2026-02-12
degemer@acb44.bzh,ACB44 - Agence Culturelle Bretonne,Nantes (44),Agency,Direct,2026-02-12
cluricaune@hotmail.fr,Association Soufflerie,"Nantes, Gétigné (44)",Association,Web,2026-02-12
ecole.musiquetrad85@gmail.com,École Départementale Musique Trad Vendée,Vendée (85),School,Web,2026-02-12
lesamisdaccord@gmail.com,Les Amis d'Accord,Les Sables d'Olonne (85),Association,Web,2026-02-12
contact@amzernevez.bzh,Amzer Nevez,Ploemeur (56),Association,Web,2026-02-12
crr-accueil@ville-rennes.fr,Conservatoire de Rennes,Rennes (35),Conservatory,Web,2026-02-12
association.unaf@gmail.com,UNAF - Union Nationale des Accordéonistes,Paris (75),Federation,Web,2026-02-12
unaf.secretariat75012@gmail.com,UNAF Secrétariat,Paris (75),Federation,Web,2026-02-12
